relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
98.0,6.2,-5.0,1,-2.1287479647758194,0.9082800465583324
97.0,7.3,-3.4,1,-1.8742115528244185,1.0283780939134595
84.0,4.7,-2.1,1,-1.2728015341891934,0.4818209978121813
70.0,3.0,-0.2,1,-0.5121127327935507,0.07690723940195689
60.0,2.4,1.2,1,0.07492512007237258,-0.0954537481399797
55.0,2.0,2.4,2,0.4029953292929975,-0.23129865435996508
67.0,2.2,1.7,1,-0.25491518141097275,-0.18481238070502143
66.0,2.1,2.0,1,-0.18567808690464135,-0.2194967621341428
70.0,1.9,1.3,1,-0.4607690116618742,-0.22765306706930938
75.0,4.7,0.4,1,-0.6072548099736154,0.35676192923822825
80.0,3.0,1.0,1,-0.9247149278867577,-0.02454342470341618
85.0,2.5,1.1,1,-1.2047999036445087,-0.14227964615024738
93.0,4.7,-0.0,1,-1.5603198104422629,0.3288696013480258
92.0,5.7,-1.1,1,-1.534208427329292,0.5927018206284729
90.0,4.4,-0.3,1,-1.4512246437830536,0.2973409262010381
84.0,3.0,0.3,1,-1.1867283208361623,0.006192037642470961
81.0,1.8,0.3,1,-1.1118280180972333,-0.218480707554353
77.0,2.9,0.1,1,-0.851850287849613,0.019081902000838088
95.0,1.9,0.6,1,-1.796340859712562,-0.2576626141499159
92.0,3.1,1.0,1,-1.5316381363264344,-0.039808975020885665
93.0,2.9,1.2,1,-1.579401479852931,-0.09368077332183535
95.0,5.7,1.6,1,-1.4656876579806737,0.42084390657312726
92.0,8.0,2.0,1,-1.1290585096514911,0.8526022657479538
91.0,7.7,2.2,1,-1.0811169566913037,0.7850698227994766
92.0,6.7,2.0,1,-1.214062466402374,0.5998057784211036
93.0,4.2,2.0,1,-1.4286534451955244,0.11076606791143073
93.0,4.3,2.2,1,-1.4056786598149793,0.11812454002856147
92.0,5.6,2.8,1,-1.2202448134389057,0.3375514122817233
94.0,2.6,2.6,1,-1.5350874724235561,-0.23952292440368794
90.0,4.0,5.4,1,-1.0089531523147308,-0.12493383677785662
89.0,6.0,4.3,1,-0.9174541101626206,0.33335721890785996
86.0,6.1,5.0,1,-0.7000237825046005,0.31917502070599973
93.0,5.6,3.6,1,-1.205622566727681,0.28630914669163937
92.0,5.4,3.1,1,-1.208668316031787,0.28052852771557546
90.0,6.3,2.8,1,-1.0722297897209085,0.47945783675841125
86.0,7.9,3.6,1,-0.6973781325705636,0.7538128068992568
84.0,8.5,4.1,1,-0.5148118260649037,0.8460548189269277
84.0,9.8,4.5,1,-0.3969358303607593,1.074676483206986
86.0,8.8,4.2,1,-0.5892211810054445,0.8925635250938111
86.0,10.2,4.3,0,-0.48946044861233245,1.1587621902994898
84.0,13.1,4.9,0,-0.14828451657833383,1.6922158202975823
84.0,11.2,4.6,0,-0.29717509796764735,1.3408751484126646
85.0,9.8,5.8,1,-0.3412235349579581,0.9932156888084119
84.0,8.0,5.3,1,-0.44888953872468895,0.6763009315839168
88.0,6.7,3.8,1,-0.8616509663314998,0.5025895526965383
90.0,3.8,4.0,1,-1.137082820458975,-0.07921372339513831
95.0,5.0,3.1,1,-1.388188873233341,0.1940671346639686
96.0,1.5,2.2,1,-1.7421295987104706,-0.43503806039569154
94.0,4.5,3.2,1,-1.3615428618192966,0.09368663019613563
94.0,6.4,3.2,1,-1.2373063096449295,0.4631584193661474
90.0,8.5,4.6,1,-0.7804527645451218,0.7984805731394394
